page,url,error,timestamp
6,https://www.fotocasa.es/es/comprar/viviendas/espana/todas-las-zonas/l/6,Failed to perform, curl: (56) Recv failure: Connection was reset. See https://curl.se/libcurl/c/libcurl-errors.html first for more details.,2026-01-21T04:18:43.852277
8,https://www.fotocasa.es/es/comprar/viviendas/espana/todas-las-zonas/l/8,Failed to perform, curl: (56) Recv failure: Connection was reset. See https://curl.se/libcurl/c/libcurl-errors.html first for more details.,2026-01-21T04:18:43.852277
3,https://www.fotocasa.es/es/comprar/viviendas/espana/todas-las-zonas/l/3,Failed to perform, curl: (56) Recv failure: Connection was reset. See https://curl.se/libcurl/c/libcurl-errors.html first for more details.,2026-01-21T04:18:43.853273
7,https://www.fotocasa.es/es/comprar/viviendas/espana/todas-las-zonas/l/7,Failed to perform, curl: (56) Recv failure: Connection was reset. See https://curl.se/libcurl/c/libcurl-errors.html first for more details.,2026-01-21T04:18:43.853273
1,https://www.fotocasa.es/es/comprar/viviendas/espana/todas-las-zonas/l,Failed to perform, curl: (56) Recv failure: Connection was reset. See https://curl.se/libcurl/c/libcurl-errors.html first for more details.,2026-01-21T04:18:43.864848
13,https://www.fotocasa.es/es/comprar/viviendas/espana/todas-las-zonas/l/13,Failed to perform, curl: (56) Recv failure: Connection was reset. See https://curl.se/libcurl/c/libcurl-errors.html first for more details.,2026-01-21T04:18:43.883930
14,https://www.fotocasa.es/es/comprar/viviendas/espana/todas-las-zonas/l/14,Failed to perform, curl: (56) Recv failure: Connection was reset. See https://curl.se/libcurl/c/libcurl-errors.html first for more details.,2026-01-21T04:18:43.884926
11,https://www.fotocasa.es/es/comprar/viviendas/espana/todas-las-zonas/l/11,Failed to perform, curl: (56) Recv failure: Connection was reset. See https://curl.se/libcurl/c/libcurl-errors.html first for more details.,2026-01-21T04:18:43.885436
17,https://www.fotocasa.es/es/comprar/viviendas/espana/todas-las-zonas/l/17,Failed to perform, curl: (56) Recv failure: Connection was reset. See https://curl.se/libcurl/c/libcurl-errors.html first for more details.,2026-01-21T04:18:43.912450
20,https://www.fotocasa.es/es/comprar/viviendas/espana/todas-las-zonas/l/20,Failed to perform, curl: (56) Recv failure: Connection was reset. See https://curl.se/libcurl/c/libcurl-errors.html first for more details.,2026-01-21T04:18:43.913456
18,https://www.fotocasa.es/es/comprar/viviendas/espana/todas-las-zonas/l/18,Failed to perform, curl: (56) Recv failure: Connection was reset. See https://curl.se/libcurl/c/libcurl-errors.html first for more details.,2026-01-21T04:18:43.913456
21,https://www.fotocasa.es/es/comprar/viviendas/espana/todas-las-zonas/l/21,Failed to perform, curl: (56) Recv failure: Connection was reset. See https://curl.se/libcurl/c/libcurl-errors.html first for more details.,2026-01-21T04:19:06.669694
23,https://www.fotocasa.es/es/comprar/viviendas/espana/todas-las-zonas/l/23,Failed to perform, curl: (56) Recv failure: Connection was reset. See https://curl.se/libcurl/c/libcurl-errors.html first for more details.,2026-01-21T04:19:06.784799
27,https://www.fotocasa.es/es/comprar/viviendas/espana/todas-las-zonas/l/27,Failed to perform, curl: (56) Recv failure: Connection was reset. See https://curl.se/libcurl/c/libcurl-errors.html first for more details.,2026-01-21T04:19:06.807874
32,https://www.fotocasa.es/es/comprar/viviendas/espana/todas-las-zonas/l/32,Failed to perform, curl: (56) Recv failure: Connection was reset. See https://curl.se/libcurl/c/libcurl-errors.html first for more details.,2026-01-21T04:19:06.827927
38,https://www.fotocasa.es/es/comprar/viviendas/espana/todas-las-zonas/l/38,Failed to perform, curl: (56) Recv failure: Connection was reset. See https://curl.se/libcurl/c/libcurl-errors.html first for more details.,2026-01-21T04:19:06.845437
34,https://www.fotocasa.es/es/comprar/viviendas/espana/todas-las-zonas/l/34,Failed to perform, curl: (56) Recv failure: Connection was reset. See https://curl.se/libcurl/c/libcurl-errors.html first for more details.,2026-01-21T04:19:06.846438
40,https://www.fotocasa.es/es/comprar/viviendas/espana/todas-las-zonas/l/40,Failed to perform, curl: (56) Recv failure: Connection was reset. See https://curl.se/libcurl/c/libcurl-errors.html first for more details.,2026-01-21T04:19:06.846438
37,https://www.fotocasa.es/es/comprar/viviendas/espana/todas-las-zonas/l/37,Failed to perform, curl: (56) Recv failure: Connection was reset. See https://curl.se/libcurl/c/libcurl-errors.html first for more details.,2026-01-21T04:19:06.864460
41,https://www.fotocasa.es/es/comprar/viviendas/espana/todas-las-zonas/l/41,Failed to perform, curl: (56) Recv failure: Connection was reset. See https://curl.se/libcurl/c/libcurl-errors.html first for more details.,2026-01-21T04:19:30.738297
45,https://www.fotocasa.es/es/comprar/viviendas/espana/todas-las-zonas/l/45,Failed to perform, curl: (56) Recv failure: Connection was reset. See https://curl.se/libcurl/c/libcurl-errors.html first for more details.,2026-01-21T04:19:31.064690
53,https://www.fotocasa.es/es/comprar/viviendas/espana/todas-las-zonas/l/53,Failed to perform, curl: (56) Recv failure: Connection was reset. See https://curl.se/libcurl/c/libcurl-errors.html first for more details.,2026-01-21T04:19:31.126087
55,https://www.fotocasa.es/es/comprar/viviendas/espana/todas-las-zonas/l/55,Failed to perform, curl: (56) Recv failure: Connection was reset. See https://curl.se/libcurl/c/libcurl-errors.html first for more details.,2026-01-21T04:19:31.247074
43,https://www.fotocasa.es/es/comprar/viviendas/espana/todas-las-zonas/l/43,Failed to perform, curl: (56) Recv failure: Connection was reset. See https://curl.se/libcurl/c/libcurl-errors.html first for more details.,2026-01-21T04:19:31.278336
46,https://www.fotocasa.es/es/comprar/viviendas/espana/todas-las-zonas/l/46,Failed to perform, curl: (56) Recv failure: Connection was reset. See https://curl.se/libcurl/c/libcurl-errors.html first for more details.,2026-01-21T04:19:31.386172
50,https://www.fotocasa.es/es/comprar/viviendas/espana/todas-las-zonas/l/50,Failed to perform, curl: (56) Recv failure: Connection was reset. See https://curl.se/libcurl/c/libcurl-errors.html first for more details.,2026-01-21T04:19:31.400707
54,https://www.fotocasa.es/es/comprar/viviendas/espana/todas-las-zonas/l/54,Failed to perform, curl: (56) Recv failure: Connection was reset. See https://curl.se/libcurl/c/libcurl-errors.html first for more details.,2026-01-21T04:19:31.404720
47,https://www.fotocasa.es/es/comprar/viviendas/espana/todas-las-zonas/l/47,Failed to perform, curl: (56) Recv failure: Connection was reset. See https://curl.se/libcurl/c/libcurl-errors.html first for more details.,2026-01-21T04:19:31.404720
57,https://www.fotocasa.es/es/comprar/viviendas/espana/todas-las-zonas/l/57,Failed to perform, curl: (56) Recv failure: Connection was reset. See https://curl.se/libcurl/c/libcurl-errors.html first for more details.,2026-01-21T04:19:31.595548
59,https://www.fotocasa.es/es/comprar/viviendas/espana/todas-las-zonas/l/59,Failed to perform, curl: (56) Recv failure: Connection was reset. See https://curl.se/libcurl/c/libcurl-errors.html first for more details.,2026-01-21T04:19:31.595548
60,https://www.fotocasa.es/es/comprar/viviendas/espana/todas-las-zonas/l/60,Failed to perform, curl: (56) Recv failure: Connection was reset. See https://curl.se/libcurl/c/libcurl-errors.html first for more details.,2026-01-21T04:19:31.812935
58,https://www.fotocasa.es/es/comprar/viviendas/espana/todas-las-zonas/l/58,Failed to perform, curl: (56) Recv failure: Connection was reset. See https://curl.se/libcurl/c/libcurl-errors.html first for more details.,2026-01-21T04:19:31.813940
69,https://www.fotocasa.es/es/comprar/viviendas/espana/todas-las-zonas/l/69,Failed to perform, curl: (56) Recv failure: Connection was reset. See https://curl.se/libcurl/c/libcurl-errors.html first for more details.,2026-01-21T04:19:55.558219
78,https://www.fotocasa.es/es/comprar/viviendas/espana/todas-las-zonas/l/78,Failed to perform, curl: (56) Recv failure: Connection was reset. See https://curl.se/libcurl/c/libcurl-errors.html first for more details.,2026-01-21T04:19:55.564728
73,https://www.fotocasa.es/es/comprar/viviendas/espana/todas-las-zonas/l/73,Failed to perform, curl: (56) Recv failure: Connection was reset. See https://curl.se/libcurl/c/libcurl-errors.html first for more details.,2026-01-21T04:19:55.564728
74,https://www.fotocasa.es/es/comprar/viviendas/espana/todas-las-zonas/l/74,Failed to perform, curl: (56) Recv failure: Connection was reset. See https://curl.se/libcurl/c/libcurl-errors.html first for more details.,2026-01-21T04:19:55.564728
